Year: 2020, Old Region: Brong Ahafo Region, New Region: Bono East Region, Code: NDC, Candidate: John Dramani Mahama, Party: NDC, Votes: 265728, Votes(%): 56.32%
Year: 2020, Old Region: Brong Ahafo Region, New Region: Bono East Region, Code: Others, Candidate: Ivor Kobina Greenstreet, Party: CPP, Votes: 426, Votes(%): 0.09%
Year: 2020, Old Region: Brong Ahafo Region, New Region: Bono East Region, Code: Others, Candidate: David Asibi Ayindenaba Apasera, Party: PNC, Votes: 276, Votes(%): 0.06%
Year: 2020, Old Region: Brong Ahafo Region, New Region: Bono East Region, Code: Others, Candidate: Alfred Kwame Asiedu Walker, Party: IND, Votes: 446, Votes(%): 0.09%
Year: 2020, Old Region: Brong Ahafo Region, New Region: Bono East Region, Code: Others, Candidate: Percival Kofi Akpaloo, Party: LPG, Votes: 328, Votes(%): 0.07%
Year: 2020, Old Region: Brong Ahafo Region, New Region: Bono East Region, Code: Others, Candidate: Hassan Ayariga, Party: APC, Votes: 463, Votes(%): 0.10%
Year: 2020, Old Region: Brong Ahafo Region, New Region: Bono East Region, Code: Others, Candidate: Bridget Dzogbenuku, Party: PPP, Votes: 239, Votes(%): 0.05%
Year: 2020, Old Region: Brong Ahafo Region, New Region: Bono East Region, Code: Others, Candidate: Akua Donkor, Party: GFP, Votes: 167, Votes(%): 0.04%
Year: 2020, Old Region: Brong Ahafo Region, New Region: Bono East Region, Code: Others, Candidate: Christian Kwabena Andrews, Party: GUM, Votes: 3643, Votes(%): 0.77%
Year: 2020, Old Region: Brong Ahafo Region, New Region: Bono East Region, Code: Others, Candidate: Henry Herbert Lartey, Party: GCPP, Votes: 169, Votes(%): 0.04%
Year: 2020, Old Region: Brong Ahafo Region, New Region: Bono East Region, Code: Others, Candidate: Nana Konadu Agyeman Rawlings, Party: NDP, Votes: 239, Votes(%): 0.05%
Year: 2020, Old Region: Central Region, New Region: Central Region, Code: NPP, Candidate: Nana Akufo Addo, Party: NPP, Votes: 613804, Votes(%): 52.31%
Year: 2020, Old Region: Central Region, New Region: Central Region, Code: NDC, Candidate: John Dramani Mahama, Party: NDC, Votes: 538829, Votes(%): 45.92%
Year: 2020, Old Region: Central Region, New Region: Central Region, Code: Others, Candidate: Ivor Kobina Greenstreet, Party: CPP, Votes: 1117, Votes(%): 0.10%
Year: 2020, Old Region: Central Region, New Region: Central Region, Code: Others, Candidate: David Asibi Ayindenaba Apasera, Party: PNC, Votes: 292, Votes(%): 0.02%
Year: 2020, Old Region: Central Region, New Region: Central Region, Code: Others, Candidate: Alfred Kwame Asiedu Walker, Party: IND, Votes: 841, Votes(%): 0.07%
Year: 2020, Old Region: Central Region, New Region: Central Region, Code: Others, Candidate: Percival Kofi Akpaloo, Party: LPG, Votes: 617, Votes(%): 0.05%
Year: 2020, Old Region: Central Region, New Region: Central Region, Code: Others, Candidate: Hassan Ayariga, Party: APC, Votes: 448, Votes(%): 0.04%
Year: 2020, Old Region: Central Region, New Region: Central Region, Code: Others, Candidate: Bridget Dzogbenuku, Party: PPP, Votes: 1056, Votes(%): 0.09%
Year: 2020, Old Region: Central Region, New Region: Central Region, Code: Others, Candidate: Akua Donkor, Party: GFP, Votes: 520, Votes(%): 0.04%
Year: 2020, Old Region: Central Region, New Region: Central Region, Code: Others, Candidate: Christian Kwabena Andrews, Party: GUM, Votes: 15160, Votes(%): 1.29%
Year: 2020, Old Region: Central Region, New Region: Central Region, Code: Others, Candidate: Henry Herbert Lartey, Party: GCPP, Votes: 363, Votes(%): 0.03%
Year: 2020, Old Region: Central Region, New Region: Central Region, Code: Others, Candidate: Nana Konadu Agyeman Rawlings, Party: NDP, Votes: 430, Votes(%): 0.04%
Year: 2020, Old Region: Eastern Region, New Region: Eastern Region, Code: NPP, Candidate: Nana Akufo Addo, Party: NPP, Votes: 752061, Votes(%): 60.80%
Year: 2020, Old Region: Eastern Region, New Region: Eastern Region, Code: NDC, Candidate: John Dramani Mahama, Party: NDC, Votes: 470999, Votes(%): 38.08%
Year: 2020, Old Region: Eastern Region, New Region: Eastern Region, Code: Others, Candidate: Ivor Kobina Greenstreet, Party: CPP, Votes: 854, Votes(%): 0.07%
Year: 2020, Old Region: Eastern Region, New Region: Eastern Region, Code: Others, Candidate: David Asibi Ayindenaba Apasera, Party: PNC, Votes: 278, Votes(%): 0.02%
Year: 2020, Old Region: Eastern Region, New Region: Eastern Region, Code: Others, Candidate: Alfred Kwame Asiedu Walker, Party: IND, Votes: 642, Votes(%): 0.05%
Year: 2020, Old Region: Eastern Region, New Region: Eastern Region, Code: Others, Candidate: Percival Kofi Akpaloo, Party: LPG, Votes: 510, Votes(%): 0.04%
Year: 2020, Old Region: Eastern Region, New Region: Eastern Region, Code: Others, Candidate: Hassan Ayariga, Party: APC, Votes: 466, Votes(%): 0.04%
Year: 2020, Old Region: Eastern Region, New Region: Eastern Region, Code: Others, Candidate: Bridget Dzogbenuku, Party: PPP, Votes: 363, Votes(%): 0.03%
Year: 2020, Old Region: Eastern Region, New Region: Eastern Region, Code: Others, Candidate: Akua Donkor, Party: GFP, Votes: 379, Votes(%): 0.03%
Year: 2020, Old Region: Eastern Region, New Region: Eastern Region, Code: Others, Candidate: Christian Kwabena Andrews, Party: GUM, Votes: 9819, Votes(%): 0.79%
Year: 2020, Old Region: Eastern Region, New Region: Eastern Region, Code: Others, Candidate: Henry Herbert Lartey, Party: GCPP, Votes: 211, Votes(%): 0.02%
Year: 2020, Old Region: Eastern Region, New Region: Eastern Region, Code: Others, Candidate: Nana Konadu Agyeman Rawlings, Party: NDP, Votes: 358, Votes(%): 0.03%
Year: 2020, Old Region: Greater Accra Region, New Region: Greater Accra Region, Code: NPP, Candidate: Nana Akufo Addo, Party: NPP, Votes: 1253179, Votes(%): 48.15%
Year: 2020, Old Region: Greater Accra Region, New Region: Greater Accra Region, Code: NDC, Candidate: John Dramani Mahama, Party: NDC, Votes: 1326489, Votes(%): 50.97%
Year: 2020, Old Region: Greater Accra Region, New Region: Greater Accra Region, Code: Others, Candidate: Ivor Kobina Greenstreet, Party: CPP, Votes: 1763, Votes(%): 0.07%
Year: 2020, Old Region: Greater Accra Region, New Region: Greater Accra Region, Code: Others, Candidate: David Asibi Ayindenaba Apasera, Party: PNC, Votes: 401, Votes(%): 0.02%
Year: 2020, Old Region: Greater Accra Region, New Region: Greater Accra Region, Code: Others, Candidate: Alfred Kwame Asiedu Walker, Party: IND, Votes: 511, Votes(%): 0.02%
Year: 2020, Old Region: Greater Accra Region, New Region: Greater Accra Region, Code: Others, Candidate: Percival Kofi Akpaloo, Party: LPG, Votes: 524, Votes(%): 0.02%
Year: 2020, Old Region: Greater Accra Region, New Region: Greater Accra Region, Code: Others, Candidate: Hassan Ayariga, Party: APC, Votes: 628, Votes(%): 0.02%
Year: 2020, Old Region: Greater Accra Region, New Region: Greater Accra Region, Code: Others, Candidate: Bridget Dzogbenuku, Party: PPP, Votes: 1220, Votes(%): 0.05%
Year: 2020, Old Region: Greater Accra Region, New Region: Greater Accra Region, Code: Others, Candidate: Akua Donkor, Party: GFP, Votes: 767, Votes(%): 0.03%
